cnty_fips,county_name,age_stnd_rate_per_100k,theme_range,pct_CHD,pct_high_BP,pct_stroke,pct_high_chol,pct_diabetes,pct_obesity,pct_phys_inactivity,pct_current_smoker,pct_food_stmp,income,gini,pct_poverty,pct_unemployment,air_quality,pct_park_access,urban_rural_status,num_hospitals,num_hospitals_intensive_care,num_hospitals_rehab,num_hospitals_emergency,num_hospitals_neuro,pop_per_primary_dr,pop_per_cvd_dr,pop_per_neuro_dr,pop_per_neuro_surg_dr,pct_no_health_insur
06003,"""Alpine, (CA)""",232.7,223 - 243 (12),7.3,33.9,3.6,38.2,7.5,17.5,14.5,12.3,12.2,72000,0.573,16.3,5.4,3.6,99,4,0,0,0,0,0,,,,,7.5
06019,"""Fresno, (CA)""",252.5,243 - 291 (11),5.8,30.9,3.2,34.8,8.9,36.7,21.5,13.7,23.1,69000,0.473,18.6,6.4,11.7,69,3,6,1,1,3,3,1.5,24.7,36.2,78,7.6
06025,"""Imperial, (CA)""",192.4,178 - 202 (12),6.4,30.4,3.5,35.7,8.6,32.9,21.2,13.8,24.2,56000,0.459,21.2,14.7,10.8,64,3,2,0,0,1,0,4,45,179.9,89.9,7.9
06027,"""Inyo, (CA)""",245.6,243 - 291 (11),7.3,34,3.7,38.5,7.3,17,14.2,12.5,10.1,64000,0.449,11.2,3.7,5.2,98,4,2,0,0,0,0,1.5,,,,7.9
06029,"""Kern, (CA)""",267.7,243 - 291 (11),5.7,30.2,3.2,34.7,10.7,33.4,24.4,16,18.6,66000,0.47,17.8,6.9,12.9,59,3,9,1,3,5,4,2.1,54,61.2,183.5,9
06037,"""Los Angeles, (CA)""",208.1,202 - 223 (11),4.9,28.6,2.9,36.6,9.9,27.8,17.2,10.9,12.4,82000,0.498,13.9,4.9,13.4,82,1,75,26,21,45,39,1.3,14.8,16.5,40.8,10.1
06039,"""Madera, (CA)""",219.8,202 - 223 (11),6.5,29.9,3.5,36.2,8.5,33.7,16.3,15.5,18.2,71000,0.454,22,6.1,10,39,3,1,0,0,1,0,2.1,53.1,79.7,79.7,10.7
06051,"""Mono, (CA)""",158.2,132 - 178 (12),5.9,29.5,2.9,35.7,7.4,17.4,13.8,12.3,5,79000,0.409,10.3,3.7,8.5,99,4,1,0,0,0,0,1.2,,,,10.6
06059,"""Orange, (CA)""",182.7,178 - 202 (12),5,27.8,2.7,35.8,8,23.7,14.2,9.6,6.9,106000,0.468,10,3.2,9.4,91,1,21,7,8,8,8,1,14.9,15.2,50.3,7.9
06065,"""Riverside, (CA)""",236,223 - 243 (12),5.6,29.3,3.1,35.6,9.8,33.6,17.9,12.2,11.1,86000,0.448,10.9,4.2,12.7,65,1,16,3,5,10,8,2.2,32.3,53.4,163.9,9.2
06071,"""San Bernardino, (CA)""",262.8,243 - 291 (11),5.4,30.2,2.9,34.9,11.2,38.5,22.6,12.4,16.5,79000,0.439,13.5,4.1,15.6,63,2,20,6,6,12,7,1.7,25.8,30.5,84.4,9.5
06073,"""San Diego, (CA)""",192.4,178 - 202 (12),5,25.6,2.7,33.8,8.4,23.8,15.1,10.5,8.8,98000,0.46,10.7,3.4,13.8,84,1,19,8,8,12,12,1.2,14.9,16.1,41.6,7.4
06107,"""Tulare, (CA)""",259.2,243 - 291 (11),6,30.3,3.3,35.5,10.5,33.3,22.8,14.5,26.3,64000,0.452,18.2,8.2,12.9,51,3,3,1,1,3,2,2.2,39.8,68.2,119.3,10.3
06111,"""Ventura, (CA)""",185.8,178 - 202 (12),5.5,30.9,2.9,35.9,7.8,24.3,16.6,10.6,8.2,102000,0.45,9.5,3.7,7.9,82,3,7,1,1,4,3,1.2,20.5,22.1,76.3,9.6
